WithIO,Size,Segmentation,Steps,Blocks
1,56,8,40,.1
1,176,4,10,.1
0,216,4,40,.1
0,96,5,5,.1
1,96,5,1,.1
0,56,8,5,.1
0,136,8,10,.1
0,56,8,1,.1
1,136,5,20,.1
1,96,5,10,.1
0,176,4,1,.1
0,96,5,10,.1
0,216,5,10,.1
0,176,4,5,.1
0,136,5,20,.1
1,216,5,20,.1
1,96,4,5,.1
1,216,8,40,.1
1,136,4,40,.1
0,216,8,10,.1
0,96,4,5,.1
1,96,8,10,.1
0,136,4,5,.1
1,216,4,10,.1
0,56,8,40,.1
1,56,5,5,.1
1,176,4,5,.1
0,56,8,20,.1
1,216,5,1,.1
1,176,8,1,.1
1,56,4,40,.1
1,96,5,5,.1
0,176,8,10,.1
0,176,4,40,.1
1,216,4,5,.1
0,216,8,20,.1
0,136,8,1,.1
0,176,8,20,.1
0,216,4,5,.1
0,136,8,40,.1
0,136,4,40,.1
1,136,4,1,.1
1,96,8,1,.1
1,56,4,5,.1
1,136,8,40,.1
1,56,4,1,.1
0,136,5,5,.1
1,176,5,1,.1
1,56,8,1,.1
1,176,5,10,.1
0,136,4,10,.1
0,96,8,20,.1
1,176,8,20,.1
0,216,4,20,.1
0,136,5,10,.1
0,56,8,10,.1
0,96,5,1,.1
1,136,8,20,.1
0,56,5,40,.1
1,176,5,5,.1
1,56,4,20,.1
0,96,8,1,.1
1,176,8,40,.1
0,216,8,1,.1
1,96,4,20,.1
1,56,5,20,.1
0,56,4,40,.1
0,56,4,20,.1
1,216,4,40,.1
1,96,5,20,.1
0,96,8,40,.1
0,56,4,5,.1
0,176,5,1,.1
0,216,5,40,.1
0,96,8,10,.1
1,96,4,10,.1
1,216,8,5,.1
0,96,4,40,.1
1,96,5,40,.1
1,216,4,1,.1
0,56,4,1,.1
0,176,8,40,.1
0,216,8,5,.1
1,136,8,1,.1
0,136,5,1,.1
1,176,8,5,.1
1,176,4,20,.1
1,176,5,20,.1
0,136,5,40,.1
1,136,5,10,.1
0,96,8,5,.1
1,56,5,1,.1
1,56,8,20,.1
0,96,4,10,.1
1,56,5,40,.1
1,176,8,10,.1
1,96,8,40,.1
0,96,4,20,.1
1,56,8,10,.1
0,216,5,1,.1
0,176,4,10,.1
1,176,4,40,.1
0,216,4,10,.1
0,176,4,20,.1
1,136,4,20,.1
0,96,5,40,.1
1,96,8,5,.1
0,216,5,20,.1
0,136,8,5,.1
0,56,5,5,.1
0,176,5,40,.1
0,96,4,1,.1
0,136,8,20,.1
0,216,5,5,.1
1,216,5,40,.1
1,136,8,5,.1
0,176,8,1,.1
1,136,4,5,.1
1,136,4,10,.1
1,216,8,20,.1
1,96,8,20,.1
0,176,8,5,.1
0,176,5,10,.1
1,216,5,10,.1
1,136,5,1,.1
1,56,4,10,.1
1,96,4,1,.1
1,136,5,40,.1
1,216,5,5,.1
0,176,5,5,.1
0,216,8,40,.1
1,56,8,5,.1
0,216,4,1,.1
1,136,8,10,.1
0,56,5,10,.1
1,216,8,10,.1
0,176,5,20,.1
1,216,4,20,.1
1,56,5,10,.1
0,136,4,20,.1
0,56,5,20,.1
1,96,4,40,.1
0,56,4,10,.1
0,96,5,20,.1
0,136,4,1,.1
1,216,8,1,.1
1,136,5,5,.1
1,176,5,40,.1
0,56,5,1,.1
1,176,4,1,.1
1,56,4,40,.2
1,176,5,40,.2
0,176,4,10,.2
1,216,5,40,.2
1,136,4,40,.2
1,96,5,1,.2
1,136,8,20,.2
1,136,5,1,.2
0,136,5,1,.2
1,216,4,40,.2
0,136,4,10,.2
1,56,5,20,.2
0,176,5,1,.2
0,176,4,40,.2
0,96,5,40,.2
0,56,5,5,.2
1,176,5,20,.2
0,176,8,20,.2
1,56,5,10,.2
1,136,4,5,.2
0,216,5,5,.2
0,136,5,40,.2
0,216,8,1,.2
0,136,8,10,.2
1,96,4,10,.2
0,56,4,1,.2
0,96,8,5,.2
1,96,8,10,.2
1,136,5,20,.2
1,216,5,20,.2
1,216,8,40,.2
0,176,8,5,.2
1,176,8,10,.2
1,136,5,40,.2
1,96,4,40,.2
1,136,8,10,.2
0,216,5,40,.2
1,216,5,5,.2
1,216,5,10,.2
1,216,8,1,.2
0,96,4,20,.2
1,56,4,1,.2
1,56,5,40,.2
1,176,5,10,.2
0,56,5,40,.2
1,216,8,10,.2
1,216,4,5,.2
0,176,4,5,.2
1,96,5,40,.2
1,136,8,5,.2
0,56,5,10,.2
0,96,5,10,.2
0,176,8,1,.2
0,216,4,40,.2
1,56,8,40,.2
0,216,8,20,.2
1,176,4,5,.2
1,56,4,10,.2
1,136,4,1,.2
1,96,4,1,.2
0,136,4,5,.2
0,176,5,10,.2
0,136,4,20,.2
1,216,4,20,.2
0,136,8,1,.2
0,56,4,5,.2
0,96,5,20,.2
1,176,8,1,.2
0,56,4,40,.2
1,216,5,1,.2
1,176,4,40,.2
1,56,5,5,.2
1,216,8,5,.2
0,176,8,40,.2
0,96,8,10,.2
0,176,5,40,.2
1,56,5,1,.2
1,96,5,5,.2
1,136,8,1,.2
0,96,4,5,.2
0,56,4,20,.2
1,96,8,40,.2
1,96,8,1,.2
0,96,4,40,.2
1,136,4,20,.2
0,136,8,40,.2
0,176,5,5,.2
0,216,8,40,.2
1,136,8,40,.2
1,176,5,1,.2
0,176,8,10,.2
1,56,4,5,.2
1,176,4,1,.2
0,216,4,10,.2
0,56,5,20,.2
0,216,5,10,.2
0,216,4,5,.2
0,176,4,1,.2
1,176,4,20,.2
0,96,5,5,.2
0,96,8,20,.2
0,216,4,1,.2
0,56,8,10,.2
1,96,4,5,.2
1,176,8,40,.2
1,56,8,20,.2
0,56,5,1,.2
0,216,5,20,.2
0,96,4,1,.2
1,96,4,20,.2
1,136,4,10,.2
1,136,5,10,.2
0,136,4,1,.2
1,96,8,5,.2
0,216,8,10,.2
0,96,4,10,.2
0,136,4,40,.2
1,96,8,20,.2
0,96,5,1,.2
1,56,8,10,.2
0,216,5,1,.2
0,176,5,20,.2
0,96,8,1,.2
1,216,4,10,.2
0,96,8,40,.2
0,136,5,20,.2
1,176,8,20,.2
1,56,4,20,.2
1,176,5,5,.2
0,136,5,5,.2
0,56,8,5,.2
0,216,8,5,.2
0,136,8,5,.2
1,216,4,1,.2
1,136,5,5,.2
1,96,5,10,.2
1,176,4,10,.2
0,136,5,10,.2
0,56,8,20,.2
1,216,8,20,.2
1,96,5,20,.2
0,56,4,10,.2
0,56,8,40,.2
0,176,4,20,.2
1,56,8,1,.2
0,216,4,20,.2
1,56,8,5,.2
0,56,8,1,.2
1,176,8,5,.2
0,136,8,20,.2
